employee_id,age,department,role,region,education_level,years_worked,attendance_percent,training_hours,promotions,tasks_completed,project_success_rate,manager_rating,peer_rating,salary,performance_score
10025,37,Marketing,Junior,South,Bachelor,11,92.97041125221976,79.72524773046905,1,264.2408195603705,1.0,5.0,5.0,57989.57302582814,4.67
10026,36,IT,Junior,West,Bachelor,10,95.46269860466948,73.82433340905433,1,191.15707777323402,1.0,5.0,4.938899523442018,62290.9623859056,4.63
10027,24,IT,Manager,South,Bachelor,2,96.32526783107414,16.556539951694482,1,10.382523039033593,1.0,4.983653571842659,4.389556240092994,100258.98755425485,4.07
10028,58,Finance,Intern,West,Master,32,88.64870775532887,88.54627310550703,4,630.4378330126756,1.0,5.0,4.465685984676729,79039.64608897093,5.0
10029,28,Finance,Junior,West,Master,3,88.62118800518807,53.3683762419071,0,24.55407740009533,0.9544233944325542,4.608261963130226,4.083093310785846,41449.27030185081,4.09
10030,42,Operations,Senior,South,Master,19,97.2632873600649,34.177329374912226,3,373.47841401750486,1.0,5.0,5.0,99646.95970374986,4.71
10031,30,Marketing,Manager,East,Bachelor,8,94.58697574167458,25.380244020287158,1,149.75004149140725,1.0,4.593712122101919,4.942214579096699,113160.08233201828,4.27
10032,39,Sales,Senior,North,Bachelor,16,92.33145936747599,47.060669498554304,2,341.82470612470297,1.0,5.0,4.974123380353643,93492.32812382242,4.66
10033,25,Marketing,Senior,West,Master,4,93.89334670221987,49.59253376449038,0,13.82194460256865,1.0,5.0,4.147253278077553,65780.86241836885,4.25
10034,46,Marketing,Intern,East,Master,23,91.88078487259423,79.01968928720213,4,437.9917616174008,1.0,4.427834278697624,4.983198601369398,51404.634497845516,4.94
10035,35,HR,Junior,North,Master,12,94.09833873219046,59.18929258991975,1,218.23445086674255,1.0,5.0,5.0,58998.19646151436,4.59
10036,30,Operations,Junior,East,Master,9,90.65573321397704,64.64263743235793,2,215.61381757224075,1.0,5.0,4.07908021271286,53020.07452009893,4.43
10037,47,HR,Manager,East,Master,25,93.07521973775692,35.67994539524242,4,466.5846686779695,1.0,5.0,4.732296870627515,140681.0132970139,4.83
10038,23,Marketing,Intern,North,Bachelor,0,85.95781579852202,91.7622570675853,0,10.0,0.9705384517324234,4.966139039344206,4.067517692889714,23784.17955995926,4.23
10039,41,Marketing,Intern,West,Master,17,89.24886282069828,67.15628024490802,3,336.15614756740655,1.0,5.0,4.789858962635057,44299.60769410545,4.73
10040,49,Marketing,Junior,East,Master,26,89.29195529283862,60.2002733980403,4,551.2912758050915,1.0,4.6717256520915225,4.549504051214538,74187.84813842276,4.91
10041,28,IT,Intern,West,Master,6,90.50243986717234,69.31975624108823,1,137.87495593531642,1.0,5.0,5.0,36741.58852691707,4.44
10042,29,HR,Intern,West,Master,3,88.293946980881,79.49057720936597,0,63.637311954611384,1.0,4.84893864100526,5.0,17722.68834742174,4.34
10043,56,Marketing,Manager,West,Bachelor,29,89.86582549670767,27.73824712319239,4,563.3599937623579,1.0,5.0,5.0,140523.46388283925,4.92
10044,35,Finance,Junior,North,Bachelor,14,85.94234375040752,59.53250546097298,2,224.4297249067037,1.0,4.8059480968743715,4.972961075349753,56750.20038013099,4.55
10045,38,Operations,Senior,South,Bachelor,12,94.1948019055796,32.00257111889468,1,247.41256967062216,1.0,4.317241042993791,5.0,91732.28810901054,4.38
10046,57,Operations,Senior,West,Bachelor,35,91.66994592435442,25.127102067925712,5,715.9146939558962,1.0,4.7226461378753095,4.721146259175761,129085.10987240296,5.0
10047,25,Finance,Junior,South,Master,0,85.17916956889593,39.05562473285097,0,10.0,0.960284184345041,4.3671389140426635,4.249888596110916,39131.533122445275,3.88
10048,23,Operations,Intern,South,Master,0,88.6606803578133,78.68819845735159,0,10.0,1.0,5.0,5.0,21148.88380167456,4.28
10049,27,IT,Intern,East,Bachelor,1,93.34640571024866,75.6899889416706,0,27.569899201150278,0.9619254957415296,4.627567073894312,5.0,23643.859104945746,4.28
10050,25,IT,Junior,West,Bachelor,2,89.82791221445684,53.24062335196173,0,50.1742505862361,1.0,4.845772598246011,5.0,52020.020492944306,4.22
10051,50,Sales,Senior,West,Master,23,89.21223415944762,53.22548462831661,5,430.28058069723824,1.0,4.680700786218879,5.0,95632.1327889341,4.83
10052,39,Sales,Junior,West,Master,16,91.70162929196769,51.40561813204689,2,302.77805859295887,1.0,5.0,4.512953222757362,67721.10949563465,4.64
10053,47,Sales,Intern,South,Bachelor,26,93.37439014071286,94.16834082138803,3,464.9053348428872,1.0,4.785062445091616,5.0,60882.62373969752,5.0
10054,55,Operations,Junior,North,Master,32,86.25459017184336,76.23843744269257,4,681.317917114397,1.0,5.0,5.0,86145.8023737709,5.0
10055,31,IT,Manager,South,Bachelor,4,94.20051392487152,10.490995332106191,0,41.00376777894643,0.9163950913633899,4.672587253743698,5.0,107631.13367860147,4.02
10056,57,IT,Senior,West,Bachelor,33,88.79882687357049,40.923814589989696,5,676.2677817374565,1.0,4.8284522642826655,4.422788024880047,123204.1448791496,5.0
10057,35,IT,Senior,West,Bachelor,11,91.92828812700081,36.00303509164009,1,218.9511791153986,1.0,5.0,5.0,89415.81356241401,4.44
10058,52,Finance,Senior,West,Bachelor,26,91.85831943723396,10.881960552827344,4,558.6878085887428,1.0,5.0,5.0,119792.5030295815,4.75
10059,36,IT,Junior,South,Bachelor,14,89.89173552704091,45.55358746931586,2,256.2323772167573,1.0,5.0,4.828986399875972,61637.40793896843,4.54
10060,29,Finance,Senior,West,Master,8,87.90536101547714,47.74936107108474,1,161.83758131021162,1.0,4.561209528880422,5.0,82134.52591645163,4.31
10061,35,Sales,Intern,East,Master,10,90.85725380763094,100.19199252711265,1,149.04719272287952,1.0,4.978674160164406,5.0,34093.50607165113,4.73
10062,44,Sales,Senior,West,Bachelor,18,98.50132123630078,49.026781426992486,3,301.8441948918074,1.0,5.0,4.531553485769173,99764.89418572944,4.75
10063,42,Operations,Senior,North,Bachelor,20,86.55329987814548,43.236324725129776,3,417.8900075159642,1.0,5.0,4.940830491862795,99839.70869257026,4.68
10064,37,Sales,Intern,East,Bachelor,16,98.7692520764195,79.78667618368912,3,266.44922482790895,1.0,4.774431911029003,4.525570596448444,44066.045725323835,4.82
10065,39,Operations,Senior,West,Master,12,90.96111531569387,56.82662914648114,2,233.15347396696407,1.0,5.0,4.765742142307243,88089.14930003128,4.54
10066,45,Marketing,Manager,East,Master,24,92.14148566835456,51.48239201957641,4,510.3388634391876,1.0,5.0,5.0,135326.95715254953,4.91
10067,47,Marketing,Junior,West,Bachelor,20,87.6531567544611,54.13157320475814,3,422.4005456828404,1.0,4.544176437189858,5.0,66956.63598923796,4.7
10068,46,HR,Senior,North,Bachelor,20,88.91492233329008,20.00013439689709,2,380.0624353615422,1.0,4.746440565774333,5.0,102090.53269098456,4.55
10069,50,Operations,Intern,West,Master,28,89.98836139984792,59.01812536728798,4,512.3449059077548,1.0,5.0,4.624962561705234,60574.762174916905,5.0
10070,36,HR,Junior,East,Bachelor,14,87.81722011648836,73.21880992159802,2,295.2848458496659,1.0,5.0,5.0,64068.39751410222,4.65
10071,22,HR,Junior,North,Bachelor,0,91.16432817051651,59.52941459225613,0,40.26770348580543,0.9811355644269619,4.911105866602961,5.0,40553.83814463999,4.17
10072,46,Marketing,Junior,South,Master,21,90.37193643277291,61.83241910458719,3,400.1328576400313,1.0,5.0,4.0139441273801415,69567.12561835477,4.77
10073,28,Operations,Manager,North,Bachelor,4,99.40312456974293,12.093490070432868,1,55.90061424778651,1.0,4.650616917882209,5.0,113824.15202517532,4.13
10074,30,Marketing,Manager,North,Bachelor,7,87.33610325727815,22.468110872115336,0,124.25294111393005,1.0,5.0,4.904905100800335,109988.43707226512,4.2
10075,45,HR,Senior,North,Bachelor,24,92.41076206699435,37.045191860992176,4,497.1482613242135,1.0,4.70366987396766,5.0,109114.11507280903,4.78
10076,22,Operations,Junior,East,Bachelor,0,92.9913851276073,62.07838383364071,0,36.85552819244739,0.9063363452463494,4.785104059568773,4.724526308662497,36500.08547003949,4.12
10077,29,HR,Manager,North,Master,4,87.71871780539266,26.01407961086241,0,42.81179565858433,0.9980035265425627,5.0,5.0,95872.30334434411,4.12
10078,45,IT,Intern,West,PhD,23,94.74730998181136,69.62673801698658,3,415.0515457202604,1.0,5.0,4.759044516809519,51665.004161614765,4.98
10079,32,Operations,Manager,North,Master,7,90.4066919484735,22.15433007397477,2,210.19988965797344,1.0,5.0,5.0,99812.75646800103,4.22
10080,38,Operations,Junior,North,Master,12,82.03044139366773,72.08323285947233,1,234.68031636329883,1.0,5.0,5.0,56815.68566590376,4.54
10081,29,HR,Intern,West,Bachelor,4,94.63939844841826,82.447846196035,0,87.58678387070928,0.9166794527134798,4.66378790333062,4.550957397082261,33343.23507269527,4.33
10082,56,IT,Senior,West,Master,35,87.53223646359055,46.121568069555515,5,679.2420747814708,1.0,4.947409455070416,5.0,117973.57488961675,5.0
10083,56,Finance,Intern,South,Master,30,87.8089002154436,71.01126189122671,4,614.6988692835815,1.0,4.979944142734545,4.232021350778967,54469.78071202906,5.0
10084,54,Marketing,Intern,North,Bachelor,28,94.7516083315696,50.46176514599375,4,588.8018262410457,1.0,4.777103629198374,4.965729981836392,69501.28495506263,5.0
10085,26,HR,Junior,East,Bachelor,3,90.6113540703262,54.76895693115504,0,68.9938851471879,1.0,4.7703248621789385,3.9940000159469453,42123.22618337874,4.15
10086,49,Operations,Intern,North,Master,24,95.671088602206,71.33429445574504,4,532.225742310433,1.0,5.0,4.7419275653208715,55921.30808915656,5.0
10087,28,Marketing,Intern,North,Master,6,96.84066438146128,83.4901226862808,1,110.19766230176724,1.0,4.950815053355215,5.0,32941.39984565539,4.57
10088,30,Marketing,Intern,West,Bachelor,3,89.42028615871081,112.85723713681841,0,52.11352580893871,0.9905155766550168,5.0,5.0,27115.863824945747,4.55
10089,29,Marketing,Junior,South,Bachelor,6,95.17304998382012,66.95166017618256,0,126.94219053832246,1.0,4.553019155044229,4.500420028274012,52752.562098059345,4.38
10090,33,Finance,Intern,North,Master,11,88.97815679442847,107.35960159383488,1,233.94884936518292,1.0,4.972214352443858,5.0,41002.144947727116,4.75
10091,55,Sales,Senior,East,Bachelor,30,100.0,45.687696953394486,5,606.8384178618783,1.0,5.0,5.0,106269.42683705273,5.0
10092,54,HR,Intern,North,Master,31,89.22817198187514,73.70113762427285,5,581.4675491913473,1.0,4.664322716907194,4.679628067142189,59428.261299299906,5.0
10093,44,Sales,Manager,East,Bachelor,19,96.10434976384002,33.47916078120883,3,389.37545498586684,1.0,5.0,4.226473539138671,134355.8483131442,4.66
10094,45,Sales,Manager,West,Master,24,95.3751601035263,47.80638599477708,3,468.7747924558969,1.0,4.443617206730477,5.0,132091.30428454158,4.87
10095,58,Sales,Junior,South,Bachelor,35,93.26435128843573,78.29562596321239,6,682.5706895777606,1.0,4.608361393318048,4.404001496731854,89136.7707751822,5.0
10096,56,Marketing,Senior,North,Bachelor,34,89.31782735433326,34.24662631956921,6,680.9744616425974,1.0,5.0,4.59050071326324,114685.78738917841,5.0
10097,43,IT,Senior,South,Bachelor,22,91.39441003223436,42.53183695699299,3,411.1543193801236,1.0,4.907214712006115,5.0,100975.26055326259,4.79
10098,48,Marketing,Manager,North,Bachelor,24,83.3856475482218,15.707331203288549,4,445.93826028380306,1.0,5.0,5.0,134253.41968157765,4.64
10099,56,Marketing,Junior,East,Master,34,92.897680153529,68.2466862469143,5,601.5359311998845,1.0,5.0,4.499654941829258,86312.69656157421,5.0
10100,22,Operations,Intern,South,Bachelor,0,93.39846132411354,95.53354699055895,0,52.41711985529674,0.9461845667649201,4.890101533291398,4.362212963816894,14734.586275621277,4.3
10101,56,Operations,Senior,North,Bachelor,31,92.53399767624549,40.39799454116016,5,636.6719395730901,1.0,4.67705538503153,4.78006551879559,118093.31546087853,5.0
10102,58,Sales,Senior,West,Bachelor,35,80.10677531482978,33.32615945639872,5,696.4970763608109,1.0,4.884468386946664,4.726095973237286,118461.65366555785,5.0
10103,35,Marketing,Senior,East,Master,11,86.93745421964076,43.60130951277563,2,199.98330289340055,1.0,4.780209145385716,5.0,83468.4387151087,4.4
10104,24,Sales,Junior,South,Master,2,89.00763606860535,64.17459031363165,0,10.0,0.964755283176622,4.504143894017934,4.5584925010392165,32068.608266129595,4.17
10105,22,Operations,Manager,North,Bachelor,1,93.16663573275619,30.8114383184962,0,10.0,0.9690664145099956,5.0,4.651456115286914,111191.00121265513,4.06
10106,26,IT,Manager,South,Master,0,93.15735562257194,31.787151243359528,0,21.475990114922286,0.9664907680360889,5.0,5.0,104709.1201473735,4.07
10107,47,HR,Intern,North,Master,25,91.31910483211529,78.26185149530629,3,528.265229107816,1.0,5.0,5.0,55025.96973336529,5.0
10108,35,Sales,Intern,East,Master,12,94.54098214641583,89.95954928226406,1,259.26875980809905,1.0,4.7515798420322035,5.0,33504.5953217114,4.75
10109,48,IT,Intern,West,Bachelor,21,87.8950304987884,87.36227445165127,4,424.75175867257406,1.0,5.0,4.546943563488805,51554.44398616563,4.92
10110,30,HR,Senior,East,Master,6,94.44094002277599,30.16896852855851,0,159.11622437794136,1.0,4.4261964795603035,4.7349101584121325,78917.33205201173,4.18
10111,36,Finance,Senior,South,Bachelor,14,93.89896841935956,29.894093968414055,2,270.14388333734377,1.0,5.0,4.48014082116052,84620.16715242676,4.47
10112,36,Sales,Senior,South,Bachelor,12,93.51021893135164,37.45625582973438,1,272.55566748403083,1.0,4.610554947308769,5.0,75247.3188553882,4.46
10113,47,Sales,Junior,North,Bachelor,21,91.27183827565737,67.36837124105179,3,408.4625266883936,1.0,4.663862305268461,5.0,68869.62046241666,4.86
10114,34,Finance,Junior,East,Bachelor,13,99.32297529932505,61.480574138908146,2,233.56576073366713,1.0,5.0,4.700112815409243,51683.127345502435,4.67
10115,53,Finance,Junior,North,Bachelor,30,93.97278275395952,53.56849589877345,4,569.8286105873244,1.0,5.0,4.817879338547862,85856.89973361771,5.0
10116,53,Sales,Junior,East,Master,28,88.12665654698577,62.6151859672583,4,528.0651073648114,1.0,4.978175420464464,4.839754967480671,82890.40783330337,5.0
10117,25,Finance,Senior,South,Bachelor,3,92.99322190294394,36.69189480477728,0,79.77204086407455,1.0,4.6669616177053115,4.2263880033609125,69633.93650829046,4.1
10118,51,Marketing,Manager,North,Bachelor,30,95.00993350829687,38.80486460224131,5,577.7176328670877,1.0,5.0,4.663088961120173,142327.07866172274,5.0
10119,58,HR,Manager,North,Bachelor,34,89.64756560430276,33.33058435067048,5,649.0091346489517,1.0,4.4942152396792245,5.0,159815.20845989042,5.0
10120,44,HR,Manager,East,Bachelor,18,96.3570889877244,26.847218125478562,2,381.4120565898408,1.0,4.555019302865467,4.562290747777453,130875.64263135481,4.54
10121,36,HR,Junior,West,Bachelor,9,93.52813482286405,62.315187720464614,1,189.839111714167,1.0,4.9679051684136555,5.0,51238.73614645548,4.5
10122,50,Marketing,Junior,East,Bachelor,26,82.63008664933861,73.15048059524202,4,548.8777594853741,1.0,4.620729805446683,4.345990512767922,90459.7966346799,4.88
10123,57,Finance,Senior,West,Bachelor,30,93.1986879093517,34.303699234536225,5,615.377985338184,1.0,5.0,4.927999544435566,109015.31294014178,5.0
10124,34,IT,Manager,East,Bachelor,8,90.37588338234914,34.02656981647161,0,137.40665259408064,1.0,4.646535609376126,4.718339422706996,107936.52637591722,4.26
10125,53,Finance,Intern,South,Bachelor,26,94.14871925816695,79.29539659534004,3,522.2830724940576,1.0,5.0,4.389164258108116,58447.42914646037,5.0
10126,28,Sales,Junior,North,Bachelor,2,95.77685936100725,64.26983683862099,0,43.753989723090314,1.0,5.0,5.0,35344.964673118426,4.36
10127,43,Operations,Intern,East,Master,22,92.78064818856727,73.4543505840427,3,412.42524024577995,1.0,5.0,5.0,61951.54582313923,4.96
10128,49,HR,Senior,South,Master,27,98.66100893577878,41.103354331593756,4,506.8612507771802,1.0,5.0,4.5152306438820125,111415.7601935464,4.95
10129,23,Finance,Junior,East,Master,0,91.28517246174601,71.07823282416801,0,10.0,0.9485050505753192,4.766893630105326,4.634433520779732,36050.25571550103,4.17
10130,27,IT,Junior,North,Bachelor,5,94.4992712922155,50.629930187538925,0,161.0974707001624,1.0,4.696107621254013,5.0,49738.93475702381,4.32
10131,49,Sales,Intern,East,Bachelor,26,95.21977029454939,66.70594896674919,3,507.6176771733535,1.0,4.969097637269408,4.092619106436075,59730.27924148946,5.0
10132,49,Marketing,Junior,West,Master,27,91.61061612442907,47.085444355130356,5,576.9860037416014,1.0,4.830000318377311,4.301453636802984,78976.74457937077,4.9
10133,41,Marketing,Manager,North,Bachelor,15,95.11509723191114,18.29337469799811,3,285.94018471560605,1.0,4.787242618245883,5.0,116457.4241658926,4.48
10134,51,IT,Intern,West,Bachelor,25,89.62130805135132,85.95323287892664,3,526.6651645861998,1.0,5.0,4.4674365517487145,50318.94037235447,5.0
10135,32,Sales,Senior,South,Bachelor,9,90.30972632391513,25.941403141345347,1,207.0747496667354,1.0,4.906488735737676,5.0,94434.00498721613,4.31
10136,49,HR,Senior,South,Bachelor,25,86.75004523865475,37.02104655256469,3,528.5777152385614,1.0,4.774337094704901,4.327293162808335,100736.32557445002,4.71
10137,46,Finance,Manager,East,Bachelor,20,92.96563646548019,36.18289303310708,3,411.6348202602688,1.0,4.926379282223823,5.0,138489.8275967569,4.7
10138,54,Sales,Intern,West,Master,31,93.30100670341737,84.16659060548594,5,661.3209973634346,1.0,5.0,4.844348446244832,62276.20426192022,5.0
10139,22,Marketing,Manager,West,Bachelor,0,96.71705263431691,26.144410200375148,1,11.350619080581836,1.0,5.0,4.914616865422817,103950.16283770162,4.1
10140,48,IT,Junior,North,PhD,23,95.16456001742354,61.90923731755106,4,511.4058918802084,1.0,4.519122826042703,5.0,76827.1654504039,4.9
10141,34,IT,Manager,West,Bachelor,8,90.86081777341026,31.071453297375683,1,111.402405904347,1.0,4.909039674101438,4.372906682840659,115327.09350148209,4.25
10142,24,Finance,Manager,West,Bachelor,3,87.28728125066289,27.757590444518137,0,70.44858743000455,1.0,4.957597038357589,5.0,108160.07136120096,4.1
10143,27,IT,Intern,North,PhD,4,93.7314016100799,77.8916528134542,0,88.49970777607,1.0,4.64524399333171,5.0,17942.171888312445,4.41
10144,29,IT,Intern,North,Master,2,96.44301268965857,102.3542743475696,1,11.904404625835266,1.0,4.964088280087791,5.0,19618.270037629114,4.54
10145,48,Sales,Junior,West,Bachelor,26,95.02073989521577,68.093109039313,4,537.3875266529121,1.0,5.0,4.461434589884057,72159.76020391143,5.0
10146,30,HR,Junior,East,Bachelor,7,96.33791009942915,84.80650917512143,0,95.29751973270146,1.0,5.0,4.687007603248282,51446.50530423799,4.56
10147,58,Finance,Intern,North,Master,34,91.15244187520703,75.03036867079499,4,660.3744702271902,1.0,5.0,5.0,64383.27833937887,5.0
10148,54,Sales,Intern,North,Bachelor,28,90.13352412729742,79.15033403111853,4,500.02736561306574,1.0,4.735715177000733,4.8998680703990685,52094.764114633894,5.0
10149,45,HR,Junior,West,Bachelor,22,89.0523945910728,46.67874234723352,3,486.7587955088844,1.0,5.0,4.7684745216341256,71812.61331728213,4.76
10150,36,Sales,Intern,West,Master,11,91.77641413354561,71.90433197910428,1,213.05351518164113,1.0,5.0,5.0,25454.604737562768,4.63
10151,53,Operations,Intern,North,Bachelor,30,91.68563681612473,99.01913148662501,5,665.0065210444893,1.0,5.0,4.866715781848139,66293.69097360478,5.0
10152,53,Sales,Junior,West,Bachelor,28,92.82671051415646,54.77965710158244,4,584.0884977955849,1.0,5.0,4.554070464809291,75711.8523831113,5.0
10153,45,IT,Intern,North,Bachelor,19,91.48281017185796,99.19281300144459,3,393.44294640053073,1.0,5.0,5.0,44297.10125959886,4.99
10154,33,HR,Junior,East,Bachelor,11,91.46548908109291,47.566377393201094,1,202.41316917157002,1.0,5.0,5.0,45097.9201342115,4.47
10155,23,Finance,Junior,East,Master,0,88.89322378811143,49.465309659267234,0,10.0,1.0,5.0,4.843576702197012,48250.51106904273,4.12
10156,24,Finance,Junior,North,Bachelor,0,95.76647605420597,56.58768778976579,0,15.689147216908358,0.9364487828102781,4.6827681521336455,4.50209315467138,32685.425565109606,4.11
10157,58,HR,Manager,North,Master,35,92.30607224897484,29.362500783208223,6,697.8545797218105,1.0,5.0,4.542546697529718,150679.99382726054,5.0
10158,38,IT,Junior,South,Bachelor,16,91.30222426285887,69.2308729245013,2,279.82189053544096,1.0,5.0,5.0,55041.30703769377,4.75
10159,23,Marketing,Junior,South,Bachelor,1,89.01028298700318,64.50770417186266,0,10.0,0.9602852985499194,5.0,4.621372584122409,37321.66095809614,4.19
10160,23,Sales,Junior,West,Bachelor,2,86.67234755843566,55.83684742655972,0,11.238888125692487,1.0,5.0,4.615077048213165,51759.10890512105,4.2
10161,49,IT,Senior,West,Master,26,97.23185677019737,38.66684193481894,4,574.629016757987,1.0,5.0,4.357222416404072,110487.38367632673,4.9
10162,44,Operations,Manager,North,Master,18,94.21855483252723,26.809370802152998,3,426.3983375403391,1.0,5.0,5.0,123381.8450184471,4.62
10163,58,HR,Manager,North,Bachelor,35,85.50432862972013,20.853462646742702,5,706.1496744192673,1.0,5.0,4.745708510543501,152329.1326017227,4.98
10164,53,Sales,Senior,South,Bachelor,30,95.05256920283863,31.120370633983782,5,604.4682838872386,1.0,5.0,3.9936623430054645,112197.20471656695,4.95
10165,54,Finance,Intern,South,Bachelor,28,95.68992468093244,90.2788389143341,5,549.9103888451143,1.0,4.929024774798845,4.398365605177977,61537.897100862065,5.0
10166,22,Marketing,Junior,North,Master,0,92.49750448920372,41.7183507207286,0,10.0,0.9393158767469787,5.0,4.579780915905403,43719.343595164806,4.06
10167,40,Operations,Intern,East,Bachelor,18,98.39244358300704,96.17358697445054,3,401.2553717282173,1.0,5.0,4.897231167541416,45344.51005046481,5.0
10168,23,Finance,Manager,East,Master,0,92.86687856849153,26.57005774397768,0,56.20729181691408,0.9028105899335952,4.70933243641796,4.392281824482651,101099.95736962552,3.9
10169,47,HR,Senior,West,Bachelor,26,86.33270588820324,32.2749139360784,4,493.19742742482146,1.0,5.0,4.8086219442162195,110182.47748824127,4.78
10170,53,Sales,Senior,North,Bachelor,31,93.46067600419329,47.39759290697269,5,617.5148486472619,1.0,5.0,4.262073138631794,114869.27176351128,5.0
10171,27,HR,Junior,North,Bachelor,4,92.97958920685092,74.85216584147118,0,66.50401097869496,1.0,5.0,4.562725737925474,42320.37005164972,4.38
10172,53,Sales,Senior,West,Bachelor,32,89.58681260488738,51.17632441603958,5,627.3928277540507,1.0,4.8831744400152735,5.0,115374.0832169777,5.0
10173,25,IT,Junior,South,Master,0,94.2942353475097,65.01852049359891,0,35.577247662895864,0.9540917955903075,5.0,5.0,43495.92625767538,4.24
10174,32,Marketing,Intern,South,Master,10,85.32933893523655,90.86863489721836,1,160.64115363901635,1.0,5.0,5.0,38912.08352487725,4.62
10175,38,IT,Junior,East,Bachelor,16,95.96226730977116,42.83502422856134,1,333.9940907280892,1.0,5.0,5.0,58311.02834365764,4.66
10176,59,IT,Junior,North,Bachelor,35,88.4875131855782,54.781694585118515,5,721.847143219176,1.0,5.0,5.0,91195.05332805996,5.0
10177,45,HR,Junior,South,Bachelor,23,88.06021549953186,50.88829939975155,3,455.73546479194545,1.0,5.0,4.439602631253949,70735.39065448832,4.77
10178,26,Marketing,Manager,East,Master,4,91.54470091077009,42.246387312151754,0,106.79203480960318,1.0,4.64932264945342,5.0,109999.7621485807,4.21
10179,55,Sales,Intern,East,Bachelor,30,93.73189171217454,76.16521981076113,4,604.4295552161235,1.0,4.758880213123016,4.43986642467652,62643.984801100494,5.0
10180,27,Sales,Junior,East,Bachelor,2,92.65569625437372,68.45406556782055,0,76.51389763468336,0.9517471555339909,5.0,4.207278542787318,54004.61908785684,4.25
10181,43,Operations,Junior,South,Bachelor,22,89.02936333691049,65.35856942488638,3,394.3338408522244,1.0,5.0,5.0,74089.48694948526,4.88
