order_id,date,customer_id,product_id,employee_id,region,units_sold,revenue
90057,08-11-2023,5654,P102,2311,South,2,190
90058,08-02-2023,5144,P101,1158,West,2,300
90059,01-03-2023,6696,P103,1217,North,2,360
90060,15-04-2023,9239,P104,2895,West,2,50
90061,27-08-2023,7711,P102,1471,East,2,190
90062,06-04-2024,5892,P102,2230,South,3,285
90063,07-05-2023,7564,P103,1361,South,1,180
90064,24-03-2023,9290,P105,1886,East,2,120
90065,08-08-2023,8554,P101,2778,North,1,150
90066,12-02-2024,6660,P105,2797,South,2,120
90067,09-03-2024,8546,P103,1668,South,2,360
90068,15-04-2023,9913,P105,1158,South,3,180
90069,21-02-2024,7776,P103,1911,West,1,180
90070,04-04-2024,8920,P101,2737,West,4,600
90071,15-03-2023,6136,P101,2278,North,3,450
90072,15-05-2023,6299,P102,2655,East,4,380
90073,05-03-2024,7523,P105,1492,West,4,240
90074,13-01-2024,8249,P105,2895,South,1,60
90075,03-03-2023,6660,P105,1766,North,3,180
90076,01-01-2023,6314,P105,2667,West,3,180
90077,20-03-2023,5433,P104,1860,North,1,25
90078,09-01-2024,9512,P102,2151,South,4,380
90079,06-03-2023,6858,P102,2671,North,3,285
90080,04-03-2024,5710,P104,1359,South,4,100
90081,12-04-2024,5137,P105,1458,North,3,180
90082,02-07-2023,8560,P104,1832,East,2,50
90083,07-03-2023,6753,P105,2898,North,4,240
90084,19-11-2023,7856,P104,1036,East,1,25
90085,22-12-2023,6184,P102,2622,East,4,380
90086,27-07-2023,5733,P104,1413,South,4,100
90087,23-02-2023,6851,P103,1718,North,3,540
90088,09-08-2023,6353,P105,2244,West,4,240
90089,24-08-2023,5394,P104,2943,East,1,25
90090,12-01-2024,7517,P105,2480,South,3,180
90091,10-04-2023,8327,P101,2194,West,3,450
90092,22-03-2024,9054,P105,2162,North,2,120
90093,13-03-2024,7066,P104,2102,East,4,100
90094,06-05-2024,9903,P105,2212,North,2,120
90095,13-04-2023,5246,P103,1619,North,2,360
90096,11-03-2024,8138,P103,1109,West,2,360
90097,01-07-2023,5341,P104,2317,South,3,75
90098,26-03-2024,7971,P104,2199,South,1,25
90099,25-02-2024,8768,P105,1409,West,2,120
90100,18-04-2023,7434,P102,2151,South,3,285
90101,12-01-2023,5341,P103,2388,North,2,360
90102,18-03-2024,5107,P103,1996,West,3,540
90103,08-02-2024,9728,P101,2047,East,4,600
90104,09-12-2023,9691,P101,1213,West,1,150
90105,27-03-2023,6796,P102,2873,West,3,285
90106,15-10-2023,9680,P103,1584,West,2,360
90107,23-11-2023,7524,P104,2756,North,4,100
90108,02-08-2023,7384,P103,1351,West,1,180
90109,13-02-2023,8531,P104,1139,North,4,100
90110,18-11-2023,7360,P104,2128,South,3,75
90111,19-03-2023,5608,P102,1656,North,3,285
90112,24-02-2023,7641,P103,1728,East,3,540
90113,29-09-2023,7347,P105,2460,South,1,60
90114,10-12-2023,7739,P103,2805,West,3,540
90115,12-03-2023,9823,P103,2176,North,4,720
90116,09-03-2023,9331,P101,1474,East,3,450
90117,29-06-2023,5210,P102,2804,West,1,95
90118,15-01-2024,5285,P105,2828,North,3,180
90119,25-02-2024,7470,P105,2289,South,4,240
90120,23-06-2023,5493,P105,1373,North,4,240
90121,18-06-2023,6017,P104,2096,East,2,50
90122,24-01-2024,8490,P102,2484,North,4,380
90123,25-03-2024,7884,P101,1902,East,1,150
90124,18-09-2023,7814,P104,1909,North,3,75
90125,22-03-2024,6989,P105,2147,East,4,240
90126,05-05-2023,5522,P104,2635,North,3,75
90127,11-05-2023,9914,P104,1373,North,1,25
90128,22-08-2023,7366,P105,1999,North,3,180
90129,27-01-2024,8450,P105,1260,East,3,180
90130,03-06-2023,6656,P101,1012,West,1,150
90131,26-11-2023,8064,P102,2043,North,4,380
90132,05-05-2023,7742,P103,2051,North,1,180
90133,20-12-2023,5589,P103,2650,South,4,720
90134,08-05-2024,5634,P103,2459,North,1,180
90135,14-01-2024,9040,P101,2230,North,3,450
90136,10-04-2023,5207,P104,2446,West,3,75
90137,22-02-2023,7233,P105,1378,East,2,120
90138,28-11-2023,5976,P102,2812,South,3,285
90139,12-04-2024,7064,P103,1191,South,4,720
90140,08-05-2023,6313,P102,1528,South,3,285
90141,17-02-2024,9349,P102,2733,West,1,95
90142,14-01-2023,5970,P105,2645,South,1,60
90143,10-05-2024,9706,P101,1536,East,3,450
90144,05-01-2023,6479,P105,1073,North,3,180
90145,07-09-2023,6170,P101,2485,North,4,600
90146,03-01-2024,9979,P104,1018,East,1,25
90147,27-01-2023,8185,P102,2907,East,1,95
90148,05-05-2023,6399,P103,2802,East,4,720
90149,27-03-2024,9601,P102,2055,West,2,190
90150,29-01-2023,8393,P105,1265,North,1,60
90151,03-01-2023,7375,P101,1238,West,2,300
90152,25-04-2024,9444,P104,2761,North,3,75
90153,18-02-2024,5198,P104,1626,East,2,50
90154,16-08-2023,8248,P101,2579,South,4,600
90155,17-05-2023,6147,P101,1500,East,4,600
90156,14-09-2023,9706,P101,1092,East,2,300
90157,28-08-2023,9035,P104,1604,West,1,25
90158,06-10-2023,7282,P102,1213,South,1,95
90159,19-11-2023,6725,P102,2905,West,1,95
90160,09-06-2023,6317,P104,1333,South,1,25
90161,16-04-2024,9880,P103,2978,South,1,180
90162,06-01-2023,8968,P105,1257,South,3,180
90163,05-04-2024,8089,P104,1267,East,4,100
90164,01-11-2023,6426,P103,1085,West,3,540
90165,23-05-2023,7428,P105,2600,East,4,240
90166,17-03-2024,6841,P102,2777,North,3,285
90167,30-06-2023,9863,P101,1587,West,1,150
90168,30-01-2023,8893,P105,2355,North,2,120
90169,04-04-2024,7144,P101,1579,East,2,300
90170,10-09-2023,6493,P103,1784,North,2,360
90171,09-02-2023,5704,P104,2204,North,2,50
90172,06-07-2023,6768,P104,1239,North,1,25
90173,15-11-2023,6069,P101,1402,West,2,300
90174,31-10-2023,8874,P105,1633,South,2,120
90175,15-08-2023,7283,P105,2408,South,1,60
90176,08-08-2023,5768,P103,1563,West,4,720
90177,15-01-2024,8723,P104,2552,South,2,50
90178,20-11-2023,5259,P101,1993,East,3,450
90179,26-01-2024,7943,P102,1234,West,2,190
90180,06-03-2024,6587,P104,1953,West,3,75
90181,12-02-2023,5083,P104,1454,South,3,75
90182,24-05-2023,9505,P103,1317,West,1,180
90183,05-10-2023,8561,P104,2440,North,4,100
90184,15-11-2023,6639,P103,1837,West,4,720
90185,23-06-2023,7393,P103,2331,West,3,540
90186,04-09-2023,7970,P102,2285,West,2,190
90187,22-06-2023,7684,P105,1607,East,1,60
90188,10-02-2023,7230,P104,1731,East,3,75
90189,13-02-2024,8398,P103,2380,North,3,540
90190,19-02-2023,8637,P103,1831,North,3,540
90191,19-11-2023,5813,P105,1860,South,3,180
90192,29-06-2023,8747,P105,2594,North,2,120
90193,08-12-2023,5895,P103,2130,West,2,360
90194,08-06-2023,5660,P104,2501,South,1,25
90195,06-02-2023,7849,P104,1021,East,1,25
90196,10-02-2024,7425,P104,2860,South,3,75
90197,27-01-2023,6110,P105,1988,East,4,240
90198,11-01-2024,8745,P104,1897,West,4,100
90199,21-01-2024,6158,P104,1457,West,2,50
90200,13-09-2023,7137,P104,2069,East,2,50
90201,05-10-2023,9915,P105,2491,South,3,180
90202,06-09-2023,6840,P101,2981,East,4,600
90203,30-06-2023,6910,P101,2075,North,1,150
90204,17-01-2023,8664,P104,1756,West,4,100
90205,03-01-2024,7910,P101,2489,East,4,600
90206,05-05-2023,5742,P104,2708,South,3,75
90207,08-11-2023,8160,P105,2916,East,1,60
90208,31-07-2023,6316,P104,1098,South,2,50
90209,16-04-2024,9541,P102,1180,West,3,285
90210,25-08-2023,8805,P103,2059,South,1,180
90211,19-02-2024,6040,P105,2458,West,1,60
90212,14-05-2024,6731,P102,2553,West,1,95
90213,26-10-2023,6655,P102,1523,South,4,380
90214,19-07-2023,6567,P103,2336,East,4,720
90215,12-01-2024,6810,P102,2649,North,4,380
90216,30-06-2023,7328,P103,1429,East,3,540
90217,24-01-2024,8016,P104,2240,South,3,75
90218,10-05-2023,6494,P105,1995,West,2,120
90219,01-05-2023,5604,P105,2407,South,1,60
90220,06-07-2023,5477,P105,2001,East,3,180
90221,23-01-2024,9705,P103,2064,South,3,540
90222,15-08-2023,5141,P103,2912,West,2,360
90223,11-06-2023,9655,P102,2785,South,1,95
90224,26-03-2024,7098,P105,1628,West,4,240
90225,22-04-2023,7570,P102,2526,West,3,285
90226,12-04-2024,9026,P104,1019,South,4,100
90227,01-04-2024,6286,P102,2147,East,3,285
90228,14-05-2023,9804,P105,1623,East,3,180
90229,05-07-2023,6209,P103,1714,North,3,540
90230,24-06-2023,5807,P102,2145,North,2,190
90231,18-09-2023,7128,P102,1147,East,2,190
90232,13-11-2023,8805,P103,1608,West,1,180
90233,03-05-2024,9504,P103,2673,South,2,360
90234,08-11-2023,5973,P105,2085,South,1,60
90235,24-12-2023,7938,P104,2087,South,1,25
90236,23-02-2024,5085,P105,2240,West,3,180
90237,10-01-2024,6796,P102,1713,East,3,285
90238,23-04-2024,6307,P105,2047,East,3,180
90239,26-09-2023,5459,P105,1808,West,1,60
90240,09-10-2023,7508,P103,1416,West,3,540
90241,14-04-2024,6144,P104,1417,East,3,75
90242,12-08-2023,8888,P104,2978,South,2,50
90243,09-09-2023,9664,P105,2742,South,4,240
90244,05-03-2023,8260,P103,1855,South,2,360
90245,07-04-2024,9645,P103,2870,East,4,720
90246,30-01-2024,6409,P102,2776,South,2,190
90247,14-11-2023,9266,P101,2673,West,2,300
90248,08-04-2024,6353,P102,1772,East,4,380
90249,06-03-2024,9130,P102,1981,East,1,95
90250,04-05-2023,6224,P102,2700,South,3,285
90251,11-03-2023,6191,P101,2397,North,2,300
90252,26-08-2023,6532,P103,2310,East,1,180
90253,16-03-2023,6916,P103,1662,West,1,180
90254,17-03-2024,8317,P104,2790,East,3,75
90255,14-05-2024,6247,P104,1522,South,1,25
90256,10-01-2023,7617,P105,2097,West,1,60
90257,04-02-2024,9632,P105,2909,North,1,60
90258,25-09-2023,7025,P105,1994,North,2,120
90259,30-03-2024,8511,P104,2685,South,2,50
90260,01-05-2024,9639,P104,2256,West,2,50
90261,19-04-2024,8692,P102,2919,West,4,380
90262,29-03-2023,9840,P103,1373,North,4,720
90263,19-02-2023,9628,P104,1292,South,3,75
90264,23-05-2023,8483,P101,1538,South,4,600
90265,28-02-2023,8323,P102,2024,North,3,285
90266,29-03-2024,6938,P101,1446,East,4,600
90267,14-11-2023,6015,P101,2668,North,3,450
90268,30-07-2023,7583,P103,2034,West,2,360
90269,13-03-2023,5927,P101,1736,East,1,150
90270,01-09-2023,6511,P101,1335,East,1,150
90271,27-08-2023,6737,P101,1423,East,3,450
90272,09-07-2023,8038,P101,2501,West,3,450
90273,28-04-2024,6721,P102,2563,North,2,190
90274,19-02-2023,7766,P102,1284,East,4,380
90275,24-07-2023,9702,P103,1143,South,3,540
90276,23-02-2023,8419,P103,2920,South,2,360
90277,06-11-2023,7825,P101,2342,East,4,600
90278,25-04-2024,9421,P105,2479,North,3,180
90279,12-08-2023,7734,P101,2027,West,1,150
90280,05-06-2023,5218,P101,1562,East,4,600
90281,26-12-2023,5521,P103,2123,West,1,180
90282,20-02-2023,5404,P104,2405,South,2,50
90283,29-08-2023,5579,P103,1700,South,1,180
90284,26-11-2023,9885,P102,1081,East,1,95
90285,10-06-2023,6854,P103,2746,West,4,720
90286,09-05-2023,9421,P104,1355,North,1,25
90287,26-03-2023,8697,P101,2864,South,2,300
90288,10-03-2023,6835,P104,1281,West,3,75
90289,20-01-2024,5157,P103,1641,North,3,540
90290,08-01-2024,8175,P105,2474,West,4,240
90291,24-02-2023,6621,P102,2243,South,4,380
90292,26-03-2023,8677,P104,1044,South,2,50
90293,11-12-2023,5805,P103,1315,East,3,540
90294,12-04-2024,6305,P101,2939,West,1,150
90295,04-03-2024,7194,P103,2554,South,1,180
90296,25-11-2023,5513,P101,1722,West,1,150
90297,21-03-2023,5503,P105,1104,East,2,120
90298,08-08-2023,9508,P102,2828,South,2,190
90299,28-02-2024,7639,P104,2678,South,1,25
90300,20-04-2023,5765,P103,2146,North,2,360
90301,10-09-2023,5236,P103,1488,East,2,360
90302,11-05-2024,9491,P104,2221,West,2,50
90303,13-11-2023,7004,P101,1873,West,1,150
90304,13-06-2023,6799,P102,1247,North,2,190
90305,13-04-2023,8387,P105,1832,East,4,240
90306,23-04-2023,8999,P104,2292,West,4,100
90307,09-09-2023,6446,P102,1567,West,2,190
90308,01-06-2023,5131,P103,2904,North,1,180
90309,02-12-2023,8675,P102,1109,South,3,285
90310,02-02-2024,7034,P105,1184,West,1,60
90311,03-01-2024,9213,P102,2026,East,1,95
90312,08-09-2023,9733,P103,2836,West,2,360
90313,20-12-2023,7044,P105,2784,West,3,180
90314,29-03-2023,9434,P105,2351,East,2,120
90315,09-05-2024,6458,P105,2238,East,4,240
90316,03-04-2024,7022,P103,2691,South,2,360
90317,07-05-2024,6948,P101,2312,West,3,450
90318,10-04-2023,6620,P103,1374,South,3,540
90319,30-04-2023,9771,P101,2889,East,4,600
90320,20-01-2024,8813,P101,1097,North,1,150
90321,30-10-2023,7161,P103,2304,North,1,180
90322,23-07-2023,9401,P102,2853,South,1,95
90323,29-05-2023,6757,P103,2896,West,2,360
90324,20-07-2023,9718,P105,2915,South,2,120
90325,22-10-2023,9150,P102,1832,West,3,285
90326,03-01-2023,5523,P104,1746,North,3,75
90327,04-02-2024,7481,P104,1582,North,1,25
90328,09-03-2023,9285,P104,2140,South,2,50
90329,03-06-2023,9484,P105,1933,West,3,180
90330,08-05-2024,5345,P105,1155,West,4,240
90331,01-07-2023,7312,P101,1336,West,1,150
90332,13-01-2023,6698,P105,1357,West,2,120
90333,08-07-2023,5140,P101,2914,North,4,600
90334,20-01-2023,9334,P104,1111,North,4,100
90335,05-12-2023,6121,P103,1029,North,1,180
90336,10-10-2023,7883,P103,2664,South,3,540
90337,21-01-2024,6034,P105,1099,North,2,120
90338,10-01-2023,9273,P104,1401,East,4,100
90339,07-07-2023,5982,P104,1385,South,1,25
90340,11-12-2023,7444,P101,2632,East,1,150
90341,19-01-2023,8460,P101,1326,West,1,150
90342,23-05-2023,7584,P104,1111,East,2,50
90343,13-04-2023,9733,P105,2772,West,1,60
90344,30-10-2023,7313,P105,1058,North,3,180
90345,29-08-2023,6156,P104,1945,East,2,50
90346,01-06-2023,6577,P103,1998,South,3,540
90347,29-09-2023,8032,P103,1273,West,4,720
90348,03-12-2023,6307,P101,2286,South,1,150
90349,07-07-2023,9234,P104,1188,South,2,50
90350,08-04-2024,9164,P103,1381,South,2,360
90351,29-07-2023,7852,P105,2731,North,4,240
90352,26-06-2023,7224,P102,1632,South,3,285
90353,23-01-2024,8444,P102,2680,East,1,95
90354,13-07-2023,9640,P104,2618,North,2,50
90355,26-06-2023,6251,P101,1708,West,1,150
90356,04-01-2024,6671,P102,2382,West,1,95
90357,19-02-2024,6395,P105,2206,South,2,120
90358,07-03-2023,6014,P105,2253,West,1,60
90359,06-11-2023,9741,P105,1996,West,4,240
90360,02-01-2023,8214,P102,1012,East,2,190
90361,13-11-2023,5756,P103,2995,East,3,540
90362,28-09-2023,7031,P105,2124,South,4,240
90363,01-03-2023,7620,P101,2475,South,4,600
90364,03-01-2024,7429,P104,1728,East,3,75
90365,12-02-2023,9566,P104,1478,East,4,100
90366,03-04-2023,6231,P104,2831,South,2,50
90367,14-08-2023,9024,P103,1142,East,2,360
90368,28-02-2024,5034,P104,1027,South,1,25
90369,24-04-2024,8674,P104,1440,North,2,50
90370,13-04-2024,5020,P102,2215,North,3,285
90371,13-10-2023,7312,P103,2782,West,1,180
90372,04-03-2023,8471,P103,2226,West,4,720
90373,07-10-2023,5456,P102,1220,South,3,285
90374,03-03-2024,7997,P101,1122,South,3,450
90375,14-01-2023,9478,P104,2156,South,3,75
90376,28-01-2023,7582,P101,1829,West,1,150
90377,22-05-2023,6062,P102,1234,East,3,285
90378,15-03-2024,6590,P102,1169,East,3,285
90379,18-04-2023,6865,P102,2857,West,3,285
90380,17-10-2023,5046,P102,2043,North,4,380
90381,19-03-2023,9841,P105,2621,South,2,120
90382,04-09-2023,9634,P102,2959,South,3,285
90383,17-04-2024,9774,P101,1922,West,4,600
90384,12-01-2023,8988,P102,1916,South,1,95
90385,03-07-2023,6653,P101,1632,East,2,300
90386,13-11-2023,5044,P102,2299,South,3,285
90387,27-12-2023,9370,P102,2823,East,2,190
90388,20-03-2024,8764,P105,2717,West,1,60
90389,23-10-2023,8032,P102,2059,North,2,190
90390,08-02-2024,8382,P104,2977,South,4,100
90391,28-08-2023,9327,P105,1111,West,4,240
90392,01-03-2024,5085,P105,1877,South,1,60
90393,20-09-2023,8176,P104,2602,East,3,75
90394,01-12-2023,9272,P105,2018,South,2,120
90395,12-01-2024,6613,P102,2223,West,2,190
90396,14-03-2023,8291,P104,2565,West,1,25
90397,09-03-2023,5587,P102,1707,East,3,285
90398,14-10-2023,5602,P105,2158,South,1,60
90399,15-04-2024,8516,P103,1121,North,2,360
90400,22-11-2023,6256,P104,2687,West,1,25
90401,08-08-2023,7161,P101,2288,South,1,150
90402,04-04-2024,9679,P105,1289,East,3,180
90403,16-02-2023,8035,P103,1712,West,4,720
90404,10-03-2024,7417,P105,2590,South,2,120
90405,27-02-2023,8022,P102,1870,East,1,95
90406,10-02-2024,7119,P102,1627,South,3,285
90407,24-01-2023,9955,P102,2614,East,4,380
90408,17-10-2023,7400,P103,1368,South,2,360
90409,15-11-2023,5809,P102,2547,North,3,285
90410,19-03-2024,7788,P105,1503,South,3,180
90411,07-02-2024,5637,P105,1057,East,3,180
90412,24-01-2023,5152,P105,2528,North,2,120
90413,05-03-2023,7433,P104,1442,North,2,50
90414,12-09-2023,7738,P105,1579,West,3,180
90415,28-05-2023,5138,P102,1784,West,2,190
90416,26-04-2023,5725,P104,2224,West,4,100
90417,08-04-2023,8542,P104,1734,East,4,100
90418,27-08-2023,7365,P104,1413,East,3,75
90419,10-10-2023,5018,P104,1756,South,4,100
90420,17-03-2024,6436,P103,1446,North,3,540
90421,27-10-2023,6961,P105,1445,East,1,60
90422,03-04-2023,7454,P103,2981,South,2,360
90423,06-03-2023,6851,P101,2765,South,3,450
90424,10-01-2024,5862,P103,2553,East,3,540
90425,23-06-2023,5100,P104,1404,North,1,25
90426,28-04-2024,5592,P105,2232,East,4,240
90427,06-11-2023,8924,P105,1674,South,4,240
90428,11-01-2024,9461,P102,2424,East,1,95
90429,23-08-2023,7509,P103,1976,West,4,720
90430,16-06-2023,6955,P105,1600,South,3,180
90431,25-08-2023,6654,P101,2205,East,4,600
90432,08-05-2024,9427,P101,1972,East,4,600
90433,07-01-2023,9780,P103,1151,North,4,720
90434,06-11-2023,6688,P102,2038,North,3,285
90435,12-02-2023,5910,P101,1340,West,1,150
90436,03-10-2023,9641,P102,2275,South,1,95
90437,06-12-2023,6181,P103,1587,West,2,360
90438,02-06-2023,7956,P105,1525,West,1,60
90439,12-02-2023,5604,P102,2710,West,2,190
90440,01-08-2023,7370,P101,2389,North,4,600
90441,20-07-2023,7010,P102,2115,East,1,95
90442,18-01-2024,9135,P105,2240,West,4,240
90443,04-06-2023,5202,P105,1091,North,4,240
90444,08-08-2023,5242,P101,2310,East,4,600
90445,02-06-2023,6529,P102,1099,East,3,285
90446,05-02-2023,8740,P102,2999,South,2,190
90447,14-08-2023,7721,P104,2081,North,2,50
90448,18-11-2023,5659,P101,2703,West,3,450
90449,01-05-2023,5712,P102,2469,South,4,380
90450,09-01-2023,8895,P103,2205,East,3,540
90451,05-12-2023,6174,P104,2532,West,1,25
90452,01-12-2023,5246,P101,1699,West,2,300
90453,30-06-2023,5730,P105,1860,East,4,240
90454,21-01-2023,8927,P101,2418,South,4,600
90455,09-03-2024,8943,P103,2021,South,4,720
90456,29-09-2023,6560,P103,2177,South,4,720
90457,13-07-2023,5984,P105,2818,East,3,180
90458,26-01-2023,5495,P105,2309,North,2,120
90459,03-03-2024,7662,P105,1820,East,2,120
90460,12-10-2023,7126,P104,2316,East,1,25
90461,25-04-2024,7575,P103,1770,West,2,360
90462,08-04-2023,6082,P105,2779,East,1,60
90463,05-03-2024,7753,P103,1073,East,4,720
90464,07-08-2023,9994,P104,1351,North,2,50
90465,23-11-2023,7958,P104,1068,East,2,50
90466,08-03-2024,5543,P103,1648,West,2,360
90467,03-02-2024,8063,P105,2177,South,1,60
90468,30-09-2023,6902,P101,1418,West,1,150
90469,28-01-2024,9314,P102,1324,North,2,190
90470,05-04-2024,8171,P103,2871,West,3,540
90471,15-10-2023,7150,P104,2484,South,3,75
90472,07-03-2023,5883,P105,1733,South,3,180
90473,11-11-2023,7677,P102,2162,East,4,380
90474,20-02-2024,7802,P103,2144,West,3,540
90475,21-04-2023,8975,P101,2949,West,4,600
90476,31-07-2023,5006,P101,2904,West,3,450
90477,20-06-2023,7435,P104,1916,North,4,100
90478,05-12-2023,6545,P104,2283,East,2,50
90479,01-01-2024,9923,P104,1144,North,4,100
90480,19-04-2024,7089,P103,1992,North,3,540
90481,28-04-2024,9191,P101,2526,South,3,450
90482,28-02-2023,7293,P101,2979,North,2,300
90483,30-01-2023,9209,P104,2694,South,3,75
90484,24-09-2023,7591,P104,2541,West,1,25
90485,08-04-2024,9425,P105,2760,East,3,180
90486,10-01-2024,8574,P101,1115,South,3,450
90487,03-06-2023,9040,P104,1550,South,2,50
90488,16-12-2023,8224,P104,2130,North,4,100
90489,02-01-2023,6240,P104,1629,West,1,25
90490,22-02-2024,8829,P105,1041,North,2,120
90491,18-06-2023,8493,P101,1817,South,4,600
90492,02-08-2023,8590,P101,1538,East,1,150
90493,08-09-2023,5716,P101,2240,West,2,300
90494,31-01-2023,5263,P105,2641,West,2,120
90495,15-11-2023,5317,P103,1082,South,1,180
90496,02-07-2023,7207,P105,2921,East,1,60
90497,08-01-2024,7524,P102,2344,East,1,95
90498,08-07-2023,5640,P105,1269,North,1,60
90499,01-08-2023,5858,P102,1107,East,3,285
90500,07-05-2023,9243,P104,2038,South,3,75
90501,19-10-2023,6470,P102,1946,North,4,380
90502,23-10-2023,5974,P105,1661,West,3,180
90503,23-01-2023,6285,P103,2849,North,4,720
90504,14-02-2024,5051,P101,2872,North,1,150
90505,18-01-2023,9353,P105,1701,East,4,240
90506,20-03-2023,6019,P101,1945,South,3,450
90507,03-02-2023,8622,P102,1680,West,3,285
90508,14-04-2024,9343,P104,1799,South,3,75
90509,16-02-2024,6912,P104,1160,North,3,75
90510,17-04-2023,5287,P105,2472,East,1,60
90511,01-11-2023,9639,P102,2832,South,2,190
90512,23-03-2024,9738,P102,1082,West,1,95
90513,18-07-2023,8901,P101,2637,East,2,300
90514,10-07-2023,9108,P102,2403,West,1,95
90515,20-08-2023,9933,P103,1114,West,1,180
90516,03-03-2023,7580,P104,2265,North,3,75
90517,11-02-2023,8516,P103,1058,South,3,540
90518,24-01-2023,6549,P103,1098,South,1,180
90519,12-06-2023,9934,P101,1441,West,3,450
90520,05-04-2024,7666,P102,2411,East,2,190
90521,02-07-2023,7453,P101,2098,East,4,600
90522,08-03-2024,6567,P104,2264,North,2,50
90523,29-11-2023,8752,P101,1514,North,3,450
90524,05-04-2023,5287,P103,1374,South,3,540
90525,18-03-2024,7473,P101,1065,West,1,150
90526,24-03-2023,5435,P102,2014,South,1,95
90527,03-04-2023,5989,P101,1803,North,1,150
90528,05-10-2023,8559,P102,2686,South,3,285
90529,15-04-2023,7405,P103,1906,West,3,540
90530,26-03-2023,5254,P102,2186,South,1,95
90531,02-03-2023,7009,P102,1246,West,3,285
90532,27-07-2023,6834,P102,1761,East,4,380
90533,07-06-2023,9261,P102,2308,South,2,190
90534,10-03-2023,5464,P104,1316,East,2,50
90535,03-05-2024,9351,P105,1189,North,4,240
90536,19-03-2024,5422,P104,1006,North,2,50
90537,03-05-2024,9293,P101,2554,West,4,600
90538,19-09-2023,9652,P104,1325,North,1,25
90539,07-12-2023,6895,P104,1088,East,4,100
90540,22-08-2023,6288,P102,1719,West,1,95
90541,05-01-2024,6348,P101,1890,West,2,300
90542,19-05-2023,5554,P101,1829,West,4,600
90543,07-10-2023,5006,P103,1278,North,2,360
90544,20-04-2024,6765,P102,1820,West,4,380
90545,01-12-2023,7091,P104,2930,West,2,50
90546,19-08-2023,8243,P103,2888,East,3,540
90547,01-01-2024,8173,P103,1071,West,2,360
90548,26-12-2023,9830,P104,2507,South,4,100
90549,20-02-2023,6657,P101,2530,West,2,300
90550,27-08-2023,5811,P102,1881,West,1,95
90551,19-01-2023,6228,P102,1216,East,1,95
90552,27-06-2023,6962,P104,2570,South,4,100
90553,28-07-2023,5490,P102,2932,North,3,285
90554,22-01-2024,5317,P105,2477,South,2,120
90555,11-05-2023,9313,P103,1109,West,1,180
90556,19-08-2023,7548,P103,1828,South,3,540
