order_id,date,customer_id,product_id,employee_id,region,units_sold,revenue,month,product_name,category,supplier,cost_price,selling_price,budget,impressions,conversions,roi
90051,2023-03-31,8609,P102,2148,West,2,190,3,Running Shoes,Sports,FitGear,40,95,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90052,2024-01-03,7929,P103,1631,East,2,360,1,Office Chair,Furniture,ComfortWorks,70,180,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90053,2023-10-16,5721,P103,2995,West,2,360,10,Office Chair,Furniture,ComfortWorks,70,180,24653.793103448275,626234.6896551724,4094.137931034483,234.71206896551723
90054,2023-07-26,6804,P103,1844,North,2,360,7,Office Chair,Furniture,ComfortWorks,70,180,24790.714285714286,506870.54761904763,5028.952380952381,305.90261904761905
90055,2023-03-03,9419,P101,1540,North,4,600,3,Smart Watch,Electronics,TechSupply,80,150,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90056,2023-11-15,8194,P101,1813,East,3,450,11,Smart Watch,Electronics,TechSupply,80,150,30436.1,422552.6,4626.4,205.669
90057,2023-11-08,5654,P102,2311,South,2,190,11,Running Shoes,Sports,FitGear,40,95,30436.1,422552.6,4626.4,205.669
90058,2023-02-08,5144,P101,1158,West,2,300,2,Smart Watch,Electronics,TechSupply,80,150,26902.666666666668,490064.6388888889,5237.0,285.48499999999996
90059,2023-03-01,6696,P103,1217,North,2,360,3,Office Chair,Furniture,ComfortWorks,70,180,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90060,2023-04-15,9239,P104,2895,West,2,50,4,T-shirt,Clothing,UrbanWear,10,25,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90061,2023-08-27,7711,P102,1471,East,2,190,8,Running Shoes,Sports,FitGear,40,95,29306.653846153848,542382.8653846154,4742.826923076923,214.4925
90062,2024-04-06,5892,P102,2230,South,3,285,4,Running Shoes,Sports,FitGear,40,95,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90063,2023-05-07,7564,P103,1361,South,1,180,5,Office Chair,Furniture,ComfortWorks,70,180,31607.942857142858,543547.0,5374.314285714286,218.99428571428572
90064,2023-03-24,9290,P105,1886,East,2,120,3,Protein Powder,Health,NutriLabs,20,60,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90065,2023-08-08,8554,P101,2778,North,1,150,8,Smart Watch,Electronics,TechSupply,80,150,29306.653846153848,542382.8653846154,4742.826923076923,214.4925
90066,2024-02-12,6660,P105,2797,South,2,120,2,Protein Powder,Health,NutriLabs,20,60,26902.666666666668,490064.6388888889,5237.0,285.48499999999996
90067,2024-03-09,8546,P103,1668,South,2,360,3,Office Chair,Furniture,ComfortWorks,70,180,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90068,2023-04-15,9913,P105,1158,South,3,180,4,Protein Powder,Health,NutriLabs,20,60,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90069,2024-02-21,7776,P103,1911,West,1,180,2,Office Chair,Furniture,ComfortWorks,70,180,26902.666666666668,490064.6388888889,5237.0,285.48499999999996
90070,2024-04-04,8920,P101,2737,West,4,600,4,Smart Watch,Electronics,TechSupply,80,150,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90071,2023-03-15,6136,P101,2278,North,3,450,3,Smart Watch,Electronics,TechSupply,80,150,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90072,2023-05-15,6299,P102,2655,East,4,380,5,Running Shoes,Sports,FitGear,40,95,31607.942857142858,543547.0,5374.314285714286,218.99428571428572
90073,2024-03-05,7523,P105,1492,West,4,240,3,Protein Powder,Health,NutriLabs,20,60,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90074,2024-01-13,8249,P105,2895,South,1,60,1,Protein Powder,Health,NutriLabs,20,60,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90075,2023-03-03,6660,P105,1766,North,3,180,3,Protein Powder,Health,NutriLabs,20,60,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90076,2023-01-01,6314,P105,2667,West,3,180,1,Protein Powder,Health,NutriLabs,20,60,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90077,2023-03-20,5433,P104,1860,North,1,25,3,T-shirt,Clothing,UrbanWear,10,25,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90078,2024-01-09,9512,P102,2151,South,4,380,1,Running Shoes,Sports,FitGear,40,95,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90079,2023-03-06,6858,P102,2671,North,3,285,3,Running Shoes,Sports,FitGear,40,95,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90080,2024-03-04,5710,P104,1359,South,4,100,3,T-shirt,Clothing,UrbanWear,10,25,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90081,2024-04-12,5137,P105,1458,North,3,180,4,Protein Powder,Health,NutriLabs,20,60,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90082,2023-07-02,8560,P104,1832,East,2,50,7,T-shirt,Clothing,UrbanWear,10,25,24790.714285714286,506870.54761904763,5028.952380952381,305.90261904761905
90083,2023-03-07,6753,P105,2898,North,4,240,3,Protein Powder,Health,NutriLabs,20,60,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90084,2023-11-19,7856,P104,1036,East,1,25,11,T-shirt,Clothing,UrbanWear,10,25,30436.1,422552.6,4626.4,205.669
90085,2023-12-22,6184,P102,2622,East,4,380,12,Running Shoes,Sports,FitGear,40,95,27036.867924528302,500590.1320754717,4598.698113207547,259.1258490566038
90086,2023-07-27,5733,P104,1413,South,4,100,7,T-shirt,Clothing,UrbanWear,10,25,24790.714285714286,506870.54761904763,5028.952380952381,305.90261904761905
90087,2023-02-23,6851,P103,1718,North,3,540,2,Office Chair,Furniture,ComfortWorks,70,180,26902.666666666668,490064.6388888889,5237.0,285.48499999999996
90088,2023-08-09,6353,P105,2244,West,4,240,8,Protein Powder,Health,NutriLabs,20,60,29306.653846153848,542382.8653846154,4742.826923076923,214.4925
90089,2023-08-24,5394,P104,2943,East,1,25,8,T-shirt,Clothing,UrbanWear,10,25,29306.653846153848,542382.8653846154,4742.826923076923,214.4925
90090,2024-01-12,7517,P105,2480,South,3,180,1,Protein Powder,Health,NutriLabs,20,60,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90091,2023-04-10,8327,P101,2194,West,3,450,4,Smart Watch,Electronics,TechSupply,80,150,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90092,2024-03-22,9054,P105,2162,North,2,120,3,Protein Powder,Health,NutriLabs,20,60,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90093,2024-03-13,7066,P104,2102,East,4,100,3,T-shirt,Clothing,UrbanWear,10,25,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90094,2024-05-06,9903,P105,2212,North,2,120,5,Protein Powder,Health,NutriLabs,20,60,31607.942857142858,543547.0,5374.314285714286,218.99428571428572
90095,2023-04-13,5246,P103,1619,North,2,360,4,Office Chair,Furniture,ComfortWorks,70,180,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90096,2024-03-11,8138,P103,1109,West,2,360,3,Office Chair,Furniture,ComfortWorks,70,180,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90097,2023-07-01,5341,P104,2317,South,3,75,7,T-shirt,Clothing,UrbanWear,10,25,24790.714285714286,506870.54761904763,5028.952380952381,305.90261904761905
90098,2024-03-26,7971,P104,2199,South,1,25,3,T-shirt,Clothing,UrbanWear,10,25,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90099,2024-02-25,8768,P105,1409,West,2,120,2,Protein Powder,Health,NutriLabs,20,60,26902.666666666668,490064.6388888889,5237.0,285.48499999999996
90100,2023-04-18,7434,P102,2151,South,3,285,4,Running Shoes,Sports,FitGear,40,95,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90101,2023-01-12,5341,P103,2388,North,2,360,1,Office Chair,Furniture,ComfortWorks,70,180,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90102,2024-03-18,5107,P103,1996,West,3,540,3,Office Chair,Furniture,ComfortWorks,70,180,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90103,2024-02-08,9728,P101,2047,East,4,600,2,Smart Watch,Electronics,TechSupply,80,150,26902.666666666668,490064.6388888889,5237.0,285.48499999999996
90104,2023-12-09,9691,P101,1213,West,1,150,12,Smart Watch,Electronics,TechSupply,80,150,27036.867924528302,500590.1320754717,4598.698113207547,259.1258490566038
90105,2023-03-27,6796,P102,2873,West,3,285,3,Running Shoes,Sports,FitGear,40,95,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90106,2023-10-15,9680,P103,1584,West,2,360,10,Office Chair,Furniture,ComfortWorks,70,180,24653.793103448275,626234.6896551724,4094.137931034483,234.71206896551723
90107,2023-11-23,7524,P104,2756,North,4,100,11,T-shirt,Clothing,UrbanWear,10,25,30436.1,422552.6,4626.4,205.669
90108,2023-08-02,7384,P103,1351,West,1,180,8,Office Chair,Furniture,ComfortWorks,70,180,29306.653846153848,542382.8653846154,4742.826923076923,214.4925
90109,2023-02-13,8531,P104,1139,North,4,100,2,T-shirt,Clothing,UrbanWear,10,25,26902.666666666668,490064.6388888889,5237.0,285.48499999999996
90110,2023-11-18,7360,P104,2128,South,3,75,11,T-shirt,Clothing,UrbanWear,10,25,30436.1,422552.6,4626.4,205.669
90111,2023-03-19,5608,P102,1656,North,3,285,3,Running Shoes,Sports,FitGear,40,95,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90112,2023-02-24,7641,P103,1728,East,3,540,2,Office Chair,Furniture,ComfortWorks,70,180,26902.666666666668,490064.6388888889,5237.0,285.48499999999996
90113,2023-09-29,7347,P105,2460,South,1,60,9,Protein Powder,Health,NutriLabs,20,60,25930.425,491309.95,5210.25,253.85700000000003
90114,2023-12-10,7739,P103,2805,West,3,540,12,Office Chair,Furniture,ComfortWorks,70,180,27036.867924528302,500590.1320754717,4598.698113207547,259.1258490566038
90115,2023-03-12,9823,P103,2176,North,4,720,3,Office Chair,Furniture,ComfortWorks,70,180,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90116,2023-03-09,9331,P101,1474,East,3,450,3,Smart Watch,Electronics,TechSupply,80,150,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90117,2023-06-29,5210,P102,2804,West,1,95,6,Running Shoes,Sports,FitGear,40,95,27794.911111111112,490536.3333333333,6264.933333333333,260.74777777777774
90118,2024-01-15,5285,P105,2828,North,3,180,1,Protein Powder,Health,NutriLabs,20,60,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90119,2024-02-25,7470,P105,2289,South,4,240,2,Protein Powder,Health,NutriLabs,20,60,26902.666666666668,490064.6388888889,5237.0,285.48499999999996
90120,2023-06-23,5493,P105,1373,North,4,240,6,Protein Powder,Health,NutriLabs,20,60,27794.911111111112,490536.3333333333,6264.933333333333,260.74777777777774
90121,2023-06-18,6017,P104,2096,East,2,50,6,T-shirt,Clothing,UrbanWear,10,25,27794.911111111112,490536.3333333333,6264.933333333333,260.74777777777774
90122,2024-01-24,8490,P102,2484,North,4,380,1,Running Shoes,Sports,FitGear,40,95,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90123,2024-03-25,7884,P101,1902,East,1,150,3,Smart Watch,Electronics,TechSupply,80,150,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90124,2023-09-18,7814,P104,1909,North,3,75,9,T-shirt,Clothing,UrbanWear,10,25,25930.425,491309.95,5210.25,253.85700000000003
90125,2024-03-22,6989,P105,2147,East,4,240,3,Protein Powder,Health,NutriLabs,20,60,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90126,2023-05-05,5522,P104,2635,North,3,75,5,T-shirt,Clothing,UrbanWear,10,25,31607.942857142858,543547.0,5374.314285714286,218.99428571428572
90127,2023-05-11,9914,P104,1373,North,1,25,5,T-shirt,Clothing,UrbanWear,10,25,31607.942857142858,543547.0,5374.314285714286,218.99428571428572
90128,2023-08-22,7366,P105,1999,North,3,180,8,Protein Powder,Health,NutriLabs,20,60,29306.653846153848,542382.8653846154,4742.826923076923,214.4925
90129,2024-01-27,8450,P105,1260,East,3,180,1,Protein Powder,Health,NutriLabs,20,60,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90130,2023-06-03,6656,P101,1012,West,1,150,6,Smart Watch,Electronics,TechSupply,80,150,27794.911111111112,490536.3333333333,6264.933333333333,260.74777777777774
90131,2023-11-26,8064,P102,2043,North,4,380,11,Running Shoes,Sports,FitGear,40,95,30436.1,422552.6,4626.4,205.669
90132,2023-05-05,7742,P103,2051,North,1,180,5,Office Chair,Furniture,ComfortWorks,70,180,31607.942857142858,543547.0,5374.314285714286,218.99428571428572
90133,2023-12-20,5589,P103,2650,South,4,720,12,Office Chair,Furniture,ComfortWorks,70,180,27036.867924528302,500590.1320754717,4598.698113207547,259.1258490566038
90134,2024-05-08,5634,P103,2459,North,1,180,5,Office Chair,Furniture,ComfortWorks,70,180,31607.942857142858,543547.0,5374.314285714286,218.99428571428572
90135,2024-01-14,9040,P101,2230,North,3,450,1,Smart Watch,Electronics,TechSupply,80,150,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90136,2023-04-10,5207,P104,2446,West,3,75,4,T-shirt,Clothing,UrbanWear,10,25,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90137,2023-02-22,7233,P105,1378,East,2,120,2,Protein Powder,Health,NutriLabs,20,60,26902.666666666668,490064.6388888889,5237.0,285.48499999999996
90138,2023-11-28,5976,P102,2812,South,3,285,11,Running Shoes,Sports,FitGear,40,95,30436.1,422552.6,4626.4,205.669
90139,2024-04-12,7064,P103,1191,South,4,720,4,Office Chair,Furniture,ComfortWorks,70,180,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90140,2023-05-08,6313,P102,1528,South,3,285,5,Running Shoes,Sports,FitGear,40,95,31607.942857142858,543547.0,5374.314285714286,218.99428571428572
90141,2024-02-17,9349,P102,2733,West,1,95,2,Running Shoes,Sports,FitGear,40,95,26902.666666666668,490064.6388888889,5237.0,285.48499999999996
90142,2023-01-14,5970,P105,2645,South,1,60,1,Protein Powder,Health,NutriLabs,20,60,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90143,2024-05-10,9706,P101,1536,East,3,450,5,Smart Watch,Electronics,TechSupply,80,150,31607.942857142858,543547.0,5374.314285714286,218.99428571428572
90144,2023-01-05,6479,P105,1073,North,3,180,1,Protein Powder,Health,NutriLabs,20,60,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90145,2023-09-07,6170,P101,2485,North,4,600,9,Smart Watch,Electronics,TechSupply,80,150,25930.425,491309.95,5210.25,253.85700000000003
90146,2024-01-03,9979,P104,1018,East,1,25,1,T-shirt,Clothing,UrbanWear,10,25,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90147,2023-01-27,8185,P102,2907,East,1,95,1,Running Shoes,Sports,FitGear,40,95,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90148,2023-05-05,6399,P103,2802,East,4,720,5,Office Chair,Furniture,ComfortWorks,70,180,31607.942857142858,543547.0,5374.314285714286,218.99428571428572
90149,2024-03-27,9601,P102,2055,West,2,190,3,Running Shoes,Sports,FitGear,40,95,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90150,2023-01-29,8393,P105,1265,North,1,60,1,Protein Powder,Health,NutriLabs,20,60,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90151,2023-01-03,7375,P101,1238,West,2,300,1,Smart Watch,Electronics,TechSupply,80,150,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90152,2024-04-25,9444,P104,2761,North,3,75,4,T-shirt,Clothing,UrbanWear,10,25,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90153,2024-02-18,5198,P104,1626,East,2,50,2,T-shirt,Clothing,UrbanWear,10,25,26902.666666666668,490064.6388888889,5237.0,285.48499999999996
90154,2023-08-16,8248,P101,2579,South,4,600,8,Smart Watch,Electronics,TechSupply,80,150,29306.653846153848,542382.8653846154,4742.826923076923,214.4925
90155,2023-05-17,6147,P101,1500,East,4,600,5,Smart Watch,Electronics,TechSupply,80,150,31607.942857142858,543547.0,5374.314285714286,218.99428571428572
90156,2023-09-14,9706,P101,1092,East,2,300,9,Smart Watch,Electronics,TechSupply,80,150,25930.425,491309.95,5210.25,253.85700000000003
90157,2023-08-28,9035,P104,1604,West,1,25,8,T-shirt,Clothing,UrbanWear,10,25,29306.653846153848,542382.8653846154,4742.826923076923,214.4925
90158,2023-10-06,7282,P102,1213,South,1,95,10,Running Shoes,Sports,FitGear,40,95,24653.793103448275,626234.6896551724,4094.137931034483,234.71206896551723
90159,2023-11-19,6725,P102,2905,West,1,95,11,Running Shoes,Sports,FitGear,40,95,30436.1,422552.6,4626.4,205.669
90160,2023-06-09,6317,P104,1333,South,1,25,6,T-shirt,Clothing,UrbanWear,10,25,27794.911111111112,490536.3333333333,6264.933333333333,260.74777777777774
90161,2024-04-16,9880,P103,2978,South,1,180,4,Office Chair,Furniture,ComfortWorks,70,180,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90162,2023-01-06,8968,P105,1257,South,3,180,1,Protein Powder,Health,NutriLabs,20,60,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90163,2024-04-05,8089,P104,1267,East,4,100,4,T-shirt,Clothing,UrbanWear,10,25,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90164,2023-11-01,6426,P103,1085,West,3,540,11,Office Chair,Furniture,ComfortWorks,70,180,30436.1,422552.6,4626.4,205.669
90165,2023-05-23,7428,P105,2600,East,4,240,5,Protein Powder,Health,NutriLabs,20,60,31607.942857142858,543547.0,5374.314285714286,218.99428571428572
90166,2024-03-17,6841,P102,2777,North,3,285,3,Running Shoes,Sports,FitGear,40,95,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90167,2023-06-30,9863,P101,1587,West,1,150,6,Smart Watch,Electronics,TechSupply,80,150,27794.911111111112,490536.3333333333,6264.933333333333,260.74777777777774
90168,2023-01-30,8893,P105,2355,North,2,120,1,Protein Powder,Health,NutriLabs,20,60,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90169,2024-04-04,7144,P101,1579,East,2,300,4,Smart Watch,Electronics,TechSupply,80,150,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90170,2023-09-10,6493,P103,1784,North,2,360,9,Office Chair,Furniture,ComfortWorks,70,180,25930.425,491309.95,5210.25,253.85700000000003
90171,2023-02-09,5704,P104,2204,North,2,50,2,T-shirt,Clothing,UrbanWear,10,25,26902.666666666668,490064.6388888889,5237.0,285.48499999999996
90172,2023-07-06,6768,P104,1239,North,1,25,7,T-shirt,Clothing,UrbanWear,10,25,24790.714285714286,506870.54761904763,5028.952380952381,305.90261904761905
90173,2023-11-15,6069,P101,1402,West,2,300,11,Smart Watch,Electronics,TechSupply,80,150,30436.1,422552.6,4626.4,205.669
90174,2023-10-31,8874,P105,1633,South,2,120,10,Protein Powder,Health,NutriLabs,20,60,24653.793103448275,626234.6896551724,4094.137931034483,234.71206896551723
90175,2023-08-15,7283,P105,2408,South,1,60,8,Protein Powder,Health,NutriLabs,20,60,29306.653846153848,542382.8653846154,4742.826923076923,214.4925
